标题,梵文原文,最终音译,初步音译,AI修正音译,状态,用户标记错误,用户已编辑,发布状态
M01.01卍轮王佛顶一字陀罗尼卍,namaḥ samanta buddhānāṃ  oṃ  bhrūṃ,那摩 萨曼达 布达南 奥姆 布噜姆,那摩 萨曼达 布达南 奥姆 布噜姆,,success,否,否,已定时发表 (2026-04-06 18:30)
M01.02卍一切如来部母佛眼陀罗尼卍,namaḥ sarva tathā gate bhyo  rha bhyaḥ  samya ksaṃ buddhe bhyaḥ  oṃ  ruru  sphuru  jvala  tiṣṭha  siddha locani  sarva artha sadhane  svāhā,那摩 萨尔瓦 塔塔嘎德 比哟 阿尔哈 比呀 萨姆雅 克萨姆 布德 比呀 奥姆 噜噜 斯普噜 吉瓦拉 提什塔 悉达 洛擦尼 萨尔瓦 阿尔塔 萨达内 斯瓦哈,那摩 萨尔瓦 塔塔嘎德 比哟 阿尔哈 比呀 萨姆雅 克萨姆 布德 比呀 奥姆 噜噜 斯普噜 吉瓦拉 提什塔 悉达 洛擦尼 萨尔瓦 阿尔塔 萨达内 斯瓦哈,,success,否,否,已定时发表 (2026-04-06 18:40)
M01.03 卍白伞盖佛顶真言(大白伞盖佛顶陀罗尼) (白伞盖佛顶陀罗尼)卍,namaḥ samanta buddhānāṃ  oṃ  tathagatoṣṇīṣa  anavalokita mūrdhna  oṃ  mama mama hum  ni,那摩 萨曼达 布达纳姆 奥姆 达塔嘎多什尼沙 阿那瓦罗基达 穆尔德纳 奥姆 玛玛 玛玛 洪 尼,那摩 萨曼达 布达纳姆 奥姆 达塔嘎多什尼沙 阿那瓦罗基达 穆尔德纳 奥姆 玛玛 玛玛 洪 尼,,success,否,否,已定时发表 (2026-04-06 21:10)
M01.04 卍光聚佛顶陀罗尼 (光聚佛顶王陀罗尼)卍,namaḥ samanta buddhānāṃ  oṃ  tathagatoṣṇīṣa  anavalokite  mūrdha tejuraśi  oṃ  jvala jvala  dhaka dhaka  vidhaka vidhaka  dara dara  vidara vidara  cchinda cchinda  bhinda bhinda humhum  phaṭ phaṭ  svāhā,那摩 萨曼达 布达纳姆 奥姆 达塔嘎多什尼沙 阿那瓦罗吉代 穆尔达 代朱拉希 奥姆 吉瓦拉 吉瓦拉 达卡 达卡 维达卡 维达卡 达拉 达拉 维达拉 维达拉 钦达 钦达 宾达 宾达 洪洪 帕特 帕特 斯瓦哈,那摩 萨曼达 布达纳姆 奥姆 达塔嘎多什尼沙 阿那瓦罗吉代 穆尔达 代朱拉希 奥姆 吉瓦拉 吉瓦拉 达卡 达卡 维达卡 维达卡 达拉 达拉 维达拉 维达拉 钦达 钦达 宾达 宾达 洪洪 帕特 帕特 斯瓦哈,,success,否,否,已定时发表 (2026-04-06 21:35)
M01.05 卍高佛顶王陀罗尼卍,namaḥ samanta buddhānāṃ  oṃ  jvala jvala  dīpya dīpya  dīpyo dgato ṣṇīṣa  dhuna dhuna hum,那摩 萨曼达 布达南 奥姆 吉瓦拉 吉瓦拉 迪皮亚 迪皮亚 迪皮奥 达加托 什尼沙 杜那 杜那 胡姆,那摩 萨曼达 布达南 奥姆 吉瓦拉 吉瓦拉 迪皮亚 迪皮亚 迪皮奥 达加托 什尼沙 杜那 杜那 胡姆,,success,否,否,已定时发表 (2026-04-06 22:25)
M01.06 卍胜佛顶王陀罗尼卍,namaḥ samanta buddhānāṃ  oṃ  jvala jayo ṣṇīṣa  jvala jvala   bandha bandha dama dama  drūṃ drūṃ drūṃ  haḥ hana hum,那摩 萨曼达 布达南 唵 吉瓦拉 贾约 斯尼沙 吉瓦拉 吉瓦拉 班达 班达 达玛 达玛 德润 德润 德润 哈 哈那 胡姆,那摩 萨曼达 布达南 唵 吉瓦拉 贾约 斯尼沙 吉瓦拉 吉瓦拉 班达 班达 达玛 达玛 德润 德润 德润 哈 哈那 胡姆,,success,否,否,已定时发表 (2026-04-06 22:35)
M01.07 卍办事真言(一切佛顶心真言)(办事佛顶陀罗尼)卍,namo bhagavato ṣṇīṣāya  oṃ  ṭrūṃ bandha svāhā,那摩 巴嘎瓦托 室尼沙雅 唵 特润 班达 斯瓦哈,那摩 巴嘎瓦托 室尼沙雅 唵 特润 班达 斯瓦哈,,success,否,否,已定时发表 (2026-04-06 22:45)
M01.08 卍摧坏真言(摧坏大明王佛顶真言)(摧坏佛顶陀罗尼)卍,namo bhagavato ṣṇīṣāya  oṃ  vikiraṇa  dhuna dhuna  dhūḥ,那摩 巴嘎瓦托 室尼沙雅 奥姆 维基拉那 杜那 杜那 杜呼,那摩 巴嘎瓦托 室尼沙雅 奥姆 维基拉那 杜那 杜那 杜呼,,success,否,否,已定时发表 (2026-04-06 22:55)
M01.09 卍摧毁佛顶真言(摧毁佛顶陀罗尼)卍,namo bhagavato ṣṇīṣāya  sarva vighna  vidhvaṃsana karāya  ṭroṭaya  svāhā,那摩 巴嘎瓦托 室尼沙雅 萨尔瓦 维格那 维德瓦姆萨那 嘎拉雅 特罗塔雅 斯瓦哈,那摩 巴嘎瓦托 室尼沙雅 萨尔瓦 维格那 维德瓦姆萨那 嘎拉雅 特罗塔雅 斯瓦哈,,success,否,否,已定时发表 (2026-04-06 23:05)
M01.10 卍无能胜佛顶真言(无能胜佛陀罗尼)卍,namo bhagavato ṣṇīṣāya  sarvatra aparājitāya  oṃ  śamaya śamaya  śānte dānte  dharmarāja bhaṣite  mahā vidya  sarva artha sadhane   svāhā,那摩 巴嘎瓦多 室尼沙雅 萨尔瓦特罗 阿巴罗吉达雅 唵 沙玛雅 沙玛雅 山德 丹德 达尔玛罗佳 巴室德 玛哈 维迪雅 萨尔瓦 阿尔塔 萨达内 斯瓦哈,那摩 巴嘎瓦多 室尼沙雅 萨尔瓦特罗 阿巴罗吉达雅 唵 沙玛雅 沙玛雅 山德 丹德 达尔玛罗佳 巴室德 玛哈 维迪雅 萨尔瓦 阿尔塔 萨达内 斯瓦哈,,success,否,否,已定时发表 (2026-04-07 05:35)
M01.11 卍遍照佛顶陀罗尼卍,namaḥ samanta buddhānāṃ  āḥ maḥ haṃ,那摩 萨曼达 布达纳姆 阿赫 玛赫 汉姆,那摩 萨曼达 布达纳姆 阿赫 玛赫 汉姆,,success,否,否,已定时发表 (2026-04-07 05:45)
M01.12 卍轮王佛顶心陀罗尼卍,namaḥ samanta buddhānāṃ  apratihata  śasanānāṃ  oṃ  tathā gatoṣṇīṣa  anavalokita mūrdhne  cakravarti hum  jvala jvala  dhaka dhaka  dhuna vidhuna  trāsaya  mālayotsadaya  hana hana  bhañja bhañja  aṃ aṃ  aḥ aḥ  kaḥ kaḥ  pruṃkhini pruṃkhini  kuṇḍalini  aparājita  stradhariṇi humhum  phaṭ phaṭ  svāhā,那摩 萨曼达 布达纳姆 阿波拉提哈达 沙萨那纳姆 奥姆 达塔 嘎多什尼沙 阿那瓦罗基达 穆尔德内 恰克拉瓦尔提 洪 吉瓦拉 吉瓦拉 达卡 达卡 杜那 维杜那 特拉萨亚 马拉约擦达亚 哈那 哈那 班贾 班贾 安姆 安姆 阿赫 阿赫 卡赫 卡赫 普鲁姆基尼 普鲁姆基尼 昆达利尼 阿波拉吉达 斯特拉达里尼 洪洪 帕特 帕特 斯瓦哈,那摩 萨曼达 布达纳姆 阿波拉提哈达 沙萨那纳姆 奥姆 达塔 嘎多什尼沙 阿那瓦罗基达 穆尔德内 恰克拉瓦尔提 洪 吉瓦拉 吉瓦拉 达卡 达卡 杜那 维杜那 特拉萨亚 马拉约擦达亚 哈那 哈那 班贾 班贾 安姆 安姆 阿赫 阿赫 卡赫 卡赫 普鲁姆基尼 普鲁姆基尼 昆达利尼 阿波拉吉达 斯特拉达里尼 洪洪 帕特 帕特 斯瓦哈,,success,否,否,已定时发表 (2026-04-07 05:55)
M01.13 卍轮王佛顶随心陀罗尼卍,namaḥ samanta buddhānāṃ  apratihata  śasanānāṃ  oṃ  aparājita  dhṛk,那摩 萨曼达 佛陀南 阿波拉提哈达 夏萨那南 奥姆 阿波拉吉达 德瑞克,那摩 萨曼达 佛陀南 阿波拉提哈达 夏萨那南 奥姆 阿波拉吉达 德瑞克,,success,否,否,已定时发表 (2026-04-07 06:05)
M01.14 卍如来钵陀罗尼卍,namaḥ samanta buddhānāṃ  oṃ  Iokapala adhiṣṭhita  dhare dharaya  mahā dubhava  buddha pattra  svāhā,那摩 萨曼达 布达纳姆 奥姆 洛嘎巴辣 阿迪什提达 达雷 达拉亚 玛哈 杜巴瓦 布达 巴特达 斯瓦哈,那摩 萨曼达 布达纳姆 奥姆 洛嘎巴辣 阿迪什提达 达雷 达拉亚 玛哈 杜巴瓦 布达 巴特达 斯瓦哈,,success,否,否,已定时发表 (2026-04-07 06:15)
M01.16卍轮王佛顶祈雨陀罗尼卍,namaḥ samanta buddhānāṃ  oṃ  bhrūṃ  sarva nāgāva rṣantu devā  śca samantena  svāhā,那摩 萨曼达 布达南 奥姆 布伦姆 萨尔瓦 那嘎瓦 尔山图 德瓦 希恰 萨曼特那 斯瓦哈,那摩 萨曼达 布达南 奥姆 布伦姆 萨尔瓦 那嘎瓦 尔山图 德瓦 希恰 萨曼特那 斯瓦哈,,success,否,否,已定时发表 (2026-04-07 06:25)
M01.17卍轮王佛顶止雨陀罗尼卍,namaḥ samanta buddhānāṃ  oṃ  bhrūṃ  caturdakṣu nāgānāṃ  praviśāntu  asmiṃ kumbhe  sarva duṣṭa nāgāṇāṃ  rundhami  svāhā,那摩 萨曼达 布达南 奥姆 布伦姆 恰图尔达克舒 那嘎南 普拉维山图 阿斯敏 昆贝 萨尔瓦 杜什塔 那嘎南 伦达米 斯瓦哈,那摩 萨曼达 布达南 奥姆 布伦姆 恰图尔达克舒 那嘎南 普拉维山图 阿斯敏 昆贝 萨尔瓦 杜什塔 那嘎南 伦达米 斯瓦哈,,success,否,否,已定时发表 (2026-04-07 06:35)
M01.18卍轮王佛顶止非时恶风雨雹陀罗尼卍,saṃrundhami  vāsukī prasukhā nāgā rājānū  ye manu ṣyānāṃ  saṃsyaṃ vihe ṭhayanti  namaḥ samanta buddhānāṃ  bhrūṃ  catu rdikṣu nāgānāṃ  praviśa asmiṃ kumbhe  sarva duṣṭa nāgānāṃ  ruddhami  svāhā,桑润达弥 瓦苏基 普拉苏卡 那嘎 拉贾努 耶 玛努 夏纳姆 桑夏姆 维赫 泰扬提 那玛赫 萨曼塔 布达纳姆 布鲁姆 恰图尔迪克舒 那嘎纳姆 普拉维夏 阿斯明 昆贝 萨尔瓦 杜什塔 那嘎纳姆 鲁达弥 斯瓦哈,桑润达弥 瓦苏基 普拉苏卡 那嘎 拉贾努 耶 玛努 夏纳姆 桑夏姆 维赫 泰扬提 那玛赫 萨曼塔 布达纳姆 布鲁姆 恰图尔迪克舒 那嘎纳姆 普拉维夏 阿斯明 昆贝 萨尔瓦 杜什塔 那嘎纳姆 鲁达弥 斯瓦哈,,success,否,否,已定时发表 (2026-04-07 06:45)
M01.19卍光聚佛顶烧萎花白芥子止雨陀罗尼卍,namaḥ samanta buddhānāṃ  apratihata  śāsanānāṃ  oṃ  tathā gato ṣṇīṣa  anavalokita mūrdha tejoraśi hum  jvala jvala  dhaka dhaka  vidhaka vidhaka  dara dara  vidara vidara  cchinda cchinda  bhinda bhinda humhum  sarva duṣṭa nāga varṣā stambhaya  sphaṭ sphaṭ  svāhā,那摩 萨曼达 布达纳姆 阿波拉提哈达 沙萨那纳姆 奥姆 达塔 嘎多 斯尼沙 阿那瓦罗基达 穆尔达 代久拉西 洪姆 久瓦拉 久瓦拉 达卡 达卡 维达卡 维达卡 达拉 达拉 维达拉 维达拉 钦达 钦达 宾达 宾达 洪洪 萨尔瓦 杜什塔 纳嘎 瓦尔沙 斯坦巴亚 斯帕特 斯帕特 斯瓦哈,那摩 萨曼达 布达纳姆 阿波拉提哈达 沙萨那纳姆 奥姆 达塔 嘎多 斯尼沙 阿那瓦罗基达 穆尔达 代久拉西 洪姆 久瓦拉 久瓦拉 达卡 达卡 维达卡 维达卡 达拉 达拉 维达拉 维达拉 钦达 钦达 宾达 宾达 洪洪 萨尔瓦 杜什塔 纳嘎 瓦尔沙 斯坦巴亚 斯帕特 斯帕特 斯瓦哈,,success,否,否,已定时发表 (2026-04-07 06:55)
